Energy(KeV),Typical Resolution(eV FWHM)
0.1072838089606471, 39.04235727440141
0.12443086595324257, 39.04235727440141
0.14431851881352542, 39.04235727440141
0.16738819374477787, 39.896199564707786
0.19415152855867635, 42.03080529047406
0.22518560976122437, 42.60003348401142
0.26118385897488083, 43.738489871086585
0.30293064802068637, 44.02310396785538
0.3513584352230407, 45.30386740331505
0.40752395681782994, 46.1577096936212
0.47268047727811124, 48.15000837100274
0.5482581882483734, 50.4269211451533
0.6359136941928659, 52.27691277415033
0.7375885538689098, 54.411518499916156
0.8555228820651619, 56.688431274066716
0.9923307323150878, 59.67687929013914
1.1510001306451396, 62.096099112673755
1.3350897925590772, 66.08069646743684
1.548617305066052, 69.92298677381564
1.7963135703466764, 74.19219822534751
2.083620988702801, 78.31910262849487
2.416913884810183, 83.01523522517982
2.8035672648050216, 88.42290306378709
3.2520877406052633, 93.97287795077841
3.7724017568416657, 99.94977398292326
4.37605169059614, 106.78051230537426
5.076296119319483, 113.61125062782548
5.888751311469691, 121.58044533735142
6.831447117284185, 130.83040348233726
7.925160897040798, 140.64958982086068
9.194040352849916, 150.75339025615244
10.666329947906803, 161.85334003013577
12.374594390564518, 173.6648250460405
14.356785850290835, 186.47245940063613
16.656884059675576, 200.27624309392263
19.325873122191012, 214.9338690775155
22.42320648540076, 230.87225849656784
26.018266637157602, 248.94525364138622
30.190225333515247, 267.7297840281267
35.03209499888678, 287.6527708019421
40.65269925024188, 309.85267034990784
47.17683869021978, 333.61794743010205
54.75004182171932, 358.9486020425247
63.54132199755896, 385.8446341871754
73.74822279239007, 415.01757910597667
85.59846629203264, 446.0405156537752
98.02330770867675, 477.3480662983425
