Energy(KeV),Typical Resolution(eV FWHM)
0.1073939036312267, 82.16139293487367
0.12456066514842316, 82.87292817679554
0.1444690636759126, 82.87292817679554
0.16755940034942174, 82.87292817679554
0.19434024095595315, 82.87292817679554
0.2254014348109253, 82.87292817679554
0.2614306460307537, 83.44215637033312
0.30323022432719565, 85.57676209609917
0.3516987598703182, 86.00368324125225
0.4079103983099412, 86.00368324125225
0.4731158921540623, 86.85752553155862
0.548763222372905, 89.13443830570895
0.6364800821397121, 89.70366649924654
0.738243001351443, 91.6959651766283
0.8562471881906383, 92.26519337016566
0.9931540536504029, 94.54210614431622
1.1519161037615502, 95.53825548300665
1.3361070365529488, 98.099782353926
1.5497605192292205, 100.94592332161392
1.7975727027611117, 103.64975724091755
2.0850109301525954, 106.35359116022096
2.418444291968851, 109.62665327306195
2.805257038603938, 113.75355767620977
3.254036832765162, 119.1612255148168
3.774611582210636, 124.56889335342385
4.378481731526265, 130.1188682404154
5.078925888249149, 135.38422903063793
5.891622477459413, 142.0726603047044
6.834569689262828, 150.0418550142308
7.928488164141577, 158.29566382052576
9.197620126133952, 167.1187008203583
10.67012177249597, 176.7955801104972
12.378951590640622, 188.4647580780179
14.361695150397061, 200.8454712874602
16.662128652976154, 213.51079859367155
19.331827195130206, 227.88381048049564
22.429887029225025, 243.39527875439467
26.024784890222275, 259.47597522183173
30.1977887708321, 278.260505608572
35.04063422028729, 297.8988782856186
40.66095680541267, 318.3910932529718
47.18626172857013, 342.0140632847815
54.760606784032895, 367.0601038004352
63.5525077333175, 393.2446007031642
73.76120533834408, 422.4175456219655
85.61469417685004, 454.00971036330156
98.04155923604213, 485.17495395948436
