Tpeak,FWHM(eV)
0.1266461746361751, 149.21328671328672
0.15594968814968868, 148.8951048951049
0.1754967151767155, 148.64055944055946
0.19502671517671555, 148.44965034965037
0.2145567151767156, 148.25874125874125
0.23410374220374264, 148.0041958041958
0.2536507692307697, 147.74965034965035
0.2731807692307697, 147.55874125874126
0.29271076923076955, 147.36783216783218
0.3122577962577968, 147.11328671328673
0.33180482328482364, 146.85874125874128
0.3513518503118507, 146.6041958041958
0.3708818503118507, 146.4132867132867
0.39041185031185077, 146.22237762237762
0.4099588773388778, 145.96783216783217
0.42950590436590486, 145.71328671328672
0.4490359043659047, 145.52237762237763
0.46856590436590495, 145.33146853146854
0.48811293139293177, 145.0769230769231
0.5076599584199588, 144.82237762237762
0.5271899584199589, 144.63146853146853
0.5467199584199589, 144.44055944055944
0.566266985446986, 144.186013986014
0.585814012474013, 143.93146853146854
0.6053440124740128, 143.74055944055945
0.6248740124740131, 143.54965034965036
0.6444210395010399, 143.29510489510488
0.66395103950104, 143.1041958041958
0.68348103950104, 142.9132867132867
0.703028066528067, 142.65874125874126
0.7225580665280671, 142.46783216783217
0.7420880665280671, 142.27692307692308
0.7713915800415807, 141.95874125874127
0.8006950935550943, 141.64055944055946
0.8202250935550943, 141.44965034965037
0.8397550935550939, 141.25874125874125
0.859285093555094, 141.06783216783217
0.878815093555094, 140.87692307692308
0.8983450935550941, 140.686013986014
0.9178750935550941, 140.4951048951049
0.9374050935550942, 140.3041958041958
0.9569350935550942, 140.11328671328673
0.9764650935550943, 139.92237762237764
1.0057515800415808, 139.66783216783216
1.035038066528067, 139.4132867132867
1.0643245530145535, 139.15874125874126
1.1033675259875266, 138.84055944055945
1.1424104989604997, 138.52237762237763
1.1716799584199589, 138.33146853146854
1.2009664449064459, 138.0769230769231
1.2399923908523915, 137.82237762237762
1.2790183367983372, 137.56783216783217
1.3082877962577968, 137.37692307692308
1.3375742827442834, 137.12237762237763
1.3766002286902295, 136.86783216783218
1.4058696881496886, 136.6769230769231
1.435147661122662, 136.45419580419582
1.4741821205821213, 136.16783216783216
1.5034345530145539, 136.04055944055943
1.5327125259875267, 135.81783216783217
1.571729958419959, 135.5951048951049
1.6107559043659052, 135.34055944055945
1.6497733367983376, 135.11783216783218
1.6790342827442835, 134.95874125874127
1.7863556340956348, 134.25874125874125
1.8253730665280676, 134.03601398601398
1.8643819854469863, 133.8451048951049
1.9033994178794187, 133.62237762237763
1.9424253638253648, 133.36783216783218
1.9814427962577972, 133.1451048951049
2.0204517151767165, 132.95419580419582
2.059469147609149, 132.73146853146852
2.0984865800415804, 132.50874125874125
2.1374869854469862, 132.34965034965035
2.1765129313929323, 132.0951048951049
2.2155133367983373, 131.936013986014
2.2545307692307706, 131.71328671328672
2.293522661122662, 131.586013986014
2.3325315800415805, 131.3951048951049
2.3715404989605, 131.20419580419582
2.410532390852392, 131.0769230769231
2.449532796257797, 130.91783216783216
2.488533201663203, 130.75874125874125
2.527525093555094, 130.63146853146853
2.5665340124740137, 130.44055944055944
2.605525904365905, 130.31328671328671
2.644517796257798, 130.186013986014
2.683509688149689, 130.05874125874126
2.7225015800415813, 129.93146853146854
2.7614934719334734, 129.8041958041958
2.8004938773388792, 129.6451048951049
2.8394857692307705, 129.51783216783218
2.8784861746361763, 129.35874125874125
2.9174780665280684, 129.23146853146852
2.9564699584199596, 129.1041958041958
2.995453336798338, 129.00874125874125
3.0344367151767173, 128.9132867132867
3.0734286070686085, 128.78601398601398
3.1124204989605007, 128.65874125874126
3.1514123908523928, 128.53146853146853
3.1903872557172566, 128.46783216783217
3.2293791476091487, 128.34055944055945
3.268371039501041, 128.21328671328672
3.307362931392933, 128.086013986014
3.3463377962577976, 128.02237762237763
3.385312661122663, 127.95874125874127
3.4243045530145544, 127.83146853146853
3.4632964449064465, 127.7041958041958
3.502271309771311, 127.64055944055944
3.5412461746361767, 127.57692307692308
3.580238066528068, 127.44965034965035
3.6192129313929327, 127.38601398601398
3.658187796257798, 127.32237762237762
3.7166586070686085, 127.19510489510489
3.755633471933474, 127.13146853146853
3.7946083367983388, 127.06783216783217
3.83360022869023, 126.94055944055944
3.8725750935550955, 126.87692307692308
3.9115499584199602, 126.81328671328671
3.950524823284825, 126.74965034965035
3.9894996881496896, 126.68601398601399
4.028491580041582, 126.55874125874126
4.067449417879419, 126.55874125874126
4.106441309771311, 126.43146853146854
4.13565968814969, 126.43146853146854
4.184391039501041, 126.30419580419581
4.223365904365906, 126.24055944055945
4.2623407692307715, 126.17692307692309
4.301315634095635, 126.11328671328673
4.340290498960501, 126.04965034965035
4.379265363825366, 125.98601398601399
4.418240228690231, 125.92237762237762
4.447458607068609, 125.92237762237762
4.4961899584199605, 125.7951048951049
4.535147796257799, 125.7951048951049
4.593618607068609, 125.66783216783217
4.632576444906447, 125.66783216783217
4.661794823284826, 125.66783216783217
4.710526174636176, 125.54055944055943
4.7494840124740145, 125.54055944055943
4.788458877338879, 125.47692307692307
4.827433742203744, 125.41328671328671
4.866391580041582, 125.41328671328671
4.895609958419961, 125.41328671328671
4.944341309771311, 125.28601398601398
4.9832991476091495, 125.28601398601398
5.012517525987528, 125.28601398601398
5.061248877338879, 125.15874125874126
5.100206715176717, 125.15874125874126
5.139164553014555, 125.15874125874126
5.197635363825365, 125.03146853146853
5.2365932016632035, 125.03146853146853
5.275551039501042, 125.03146853146853
5.314525904365906, 124.96783216783217
5.353500769230771, 124.90419580419581
5.392458607068609, 124.90419580419581
5.431416444906446, 124.90419580419581
5.470391309771312, 124.84055944055945
