ICR,Resolution (eV FWHM @ 5.9 KeV)
9934.153411000327, 130.33463586560933
9934.153411000327, 130.19250660843582
12505.63599193457, 130.33463586560933
12505.63599193457, 130.19250660843582
15077.118572868814, 130.33463586560933
15077.118572868814, 130.19250660843582
17648.601153803058, 130.33463586560933
17648.601153803058, 130.19250660843582
20220.0837347373, 130.33463586560933
20220.0837347373, 130.19250660843582
22791.566315671545, 130.33463586560933
22791.566315671545, 130.19250660843582
25363.04889660579, 130.33463586560933
25363.04889660579, 130.19250660843582
27934.531477540033, 130.33463586560933
27934.531477540033, 130.19250660843582
30506.014058474277, 130.33463586560933
30506.014058474277, 130.19250660843582
33077.49663940852, 130.33463586560933
33077.49663940852, 130.19250660843582
35648.979220342764, 130.33463586560933
35648.979220342764, 130.19250660843582
38220.46180127701, 130.33463586560933
38220.46180127701, 130.19250660843582
40791.94438221125, 130.33463586560933
40791.94438221125, 130.19250660843582
43363.426963145495, 130.33463586560933
43363.426963145495, 130.19250660843582
45934.90954407974, 130.33463586560933
45934.90954407974, 130.19250660843582
48506.39212501398, 130.33463586560933
48506.39212501398, 130.19250660843582
51077.87470594823, 130.33463586560933
51077.87470594823, 130.19250660843582
53649.35728688247, 130.33463586560933
53649.35728688247, 130.19250660843582
56220.839867816714, 130.33463586560933
56220.839867816714, 130.19250660843582
58792.32244875099, 130.33463586560933
58792.32244875099, 130.19250660843582
61363.80502968523, 130.33463586560933
61363.80502968523, 130.19250660843582
63935.287610619474, 130.33463586560933
63935.287610619474, 130.19250660843582
66506.77019155372, 130.33463586560933
66506.77019155372, 130.19250660843582
69078.25277248796, 130.33463586560933
69078.25277248796, 130.19250660843582
71649.7353534222, 130.33463586560933
71649.7353534222, 130.19250660843582
74221.21793435645, 130.33463586560933
74221.21793435645, 130.19250660843582
76792.7005152907, 130.33463586560933
79364.18309622494, 130.33463586560933
81935.66567715918, 130.33463586560933
84507.14825809342, 130.33463586560933
87078.63083902767, 130.33463586560933
89650.11341996191, 130.33463586560933
92221.59600089616, 130.33463586560933
94793.0785818304, 130.33463586560933
97364.56116276464, 130.33463586560933
99936.04374369889, 130.33463586560933
102507.52632463313, 130.33463586560933
105079.00890556737, 130.33463586560933
107650.49148650162, 130.33463586560933
110221.97406743586, 130.47676512278284
110221.97406743586, 130.33463586560933
112793.4566483701, 130.47676512278284
112793.4566483701, 130.33463586560933
115364.93922930435, 130.47676512278284
115364.93922930435, 130.33463586560933
117936.4218102386, 130.47676512278284
117936.4218102386, 130.33463586560933
120507.90439117284, 130.47676512278284
120507.90439117284, 130.33463586560933
123079.38697210708, 130.47676512278284
123079.38697210708, 130.33463586560933
125650.86955304132, 130.47676512278284
125650.86955304132, 130.33463586560933
128222.35213397557, 130.47676512278284
128222.35213397557, 130.33463586560933
130793.83471490981, 130.47676512278284
130793.83471490981, 130.33463586560933
133365.31729584406, 130.47676512278284
133365.31729584406, 130.33463586560933
135936.7998767783, 130.47676512278284
135936.7998767783, 130.33463586560933
138508.28245771254, 130.47676512278284
138508.28245771254, 130.33463586560933
141079.7650386468, 130.47676512278284
141079.7650386468, 130.33463586560933
