BLUE ocr vs icr,,Red ocr vs icr,,black ocr vs icr,
X,Y,X,Y,X,Y
688032.8893602963,685423.7570999544,,,,
693761.3239206413,696010.04602729,,,,
692329.215280555,689960.7380688125,,,,
698057.6498409,699034.7000065288,,,,
696625.5412008137,694497.7190376706,,,,
701995.9486011371,705084.0079650063,,,,
701995.9486011371,699790.8635013385,,,,
706650.3016814175,708108.661944245,,,,
705218.1930413313,703571.6809753869,,,,
710946.6276016763,711637.4249200237,,,,
709514.5189615899,706596.3349546257,,,,
715242.9535219349,717182.6238819613,,,,
713810.8448818487,711133.3159234838,,,,
719539.2794421937,720207.2778612,,,,
718107.1708021074,715670.2968923419,,,,
723477.5782024309,726256.5858196776,,,,
723477.5782024309,720963.4413560098,,,,
728131.9312827112,729281.2397989163,,,,
726699.8226426248,724744.2588300582,,,,
732428.2572029699,732810.0027746949,,,,
730996.1485628836,727768.912809297,,,,
736724.5831232286,738355.2017366326,,,,
735292.4744831424,732305.8937781551,,,,
741020.9090434874,741883.9647124112,,,,
739588.800403401,736842.8747470132,,,,
744959.2078037245,747429.1636743488,,,,
744959.2078037245,742136.0192106811,,,,
749613.5608840048,750453.8176535876,,,,
748181.4522439186,745916.8366847294,,,,
753909.8868042636,753982.5806293662,,,,
752477.7781641773,748941.4906639683,,,,
758206.2127245223,759527.7795913039,,,,
756774.104084436,753478.4716328264,,,,
762502.538644781,763056.5425670824,,,,
761070.4300046947,758015.4526016845,,,,
766440.8374050182,768601.7415290201,,,,
766440.8374050182,763308.5970653524,,,,
771095.1904852985,771626.3955082588,,,,
769663.0818452123,767089.4145394007,,,,
775391.5164055573,775155.1584840375,,,,
773959.4077654709,770114.0685186395,,,,
779687.8423258159,780700.3574459752,,,,
778255.7336857297,774651.0494874977,,,,
783984.1682460747,783725.0114252139,,,,
782552.0596059884,779188.0304563558,,,,
787922.4670063119,789774.3193836914,,,,
787922.4670063119,784481.1749200237,,,,
792576.8200865921,792798.9733629301,,,,
791144.7114465059,788261.992394072,,,,
796873.1460068509,796327.7363387088,,,,
795441.0373667646,791286.6463733108,,,,
800811.444767088,801872.9353006465,,,,
800811.444767088,796579.7908369787,,,,
805465.7978473684,804897.5892798852,,,,
804033.689207282,800360.608311027,,,,
809404.0966076055,810946.8972383627,,,,
809404.0966076055,805653.7527746949,,,,
814058.4496878858,813971.5512176014,,,,
812626.3410477996,807922.243259124,,,,
818354.7756081446,817500.3141933801,,,,
816922.6669680583,812459.2242279821,,,,
822293.0743683816,823045.5131553177,,,,
822293.0743683816,817752.36869165,,,,
826947.427448662,826070.1671345565,,,,
825515.3188085757,821533.1861656983,,,,
831243.7533689208,829094.8211137953,,,,
829811.6447288345,824557.8401449372,,,,
835182.0521291579,835144.1290722727,,,,
835182.0521291579,829850.9846086049,,,,
839836.4052094382,838168.7830515115,,,,
838404.2965693519,833631.8020826534,,,,
844132.731129697,841697.54602729,,,,
842700.6224896107,836656.4560618921,,,,
848429.0570499557,847242.7449892277,,,,
846996.9484098695,841193.4370307503,,,,
852725.3829702145,850267.3989684666,,,,
851293.2743301281,845730.4179996084,,,,
856663.6817304515,856316.706926944,,,,
856663.6817304515,851023.5624632762,,,,
861318.0348107319,859341.3609061828,,,,
859885.9261706456,853292.0529477053,,,,
865614.3607309907,862366.0148854215,,,,
864182.2520909044,857829.0339165634,,,,
869552.6594912277,868415.322843899,,,,
869552.6594912277,863122.1783802313,,,,
874207.0125715081,871439.9768231378,,,,
872774.9039314218,865390.6688646603,,,,
878503.3384917668,874464.6308023765,,,,
877071.2298516806,869927.6498335184,,,,
882441.637252004,880513.9387608541,,,,
882441.637252004,875220.7942971862,,,,
886737.9631722627,883538.5927400928,,,,
886737.9631722627,878245.448276425,,,,
891392.316252543,886563.2467193316,,,,
889960.2076124566,882026.2657504735,,,,
895688.6421728017,889587.9006985703,,,,
894256.5335327155,885050.9197297122,,,,
899984.9680930605,895637.2086570478,,,,
898552.8594529742,889587.9006985703,,,,
904281.2940133192,898661.8626362865,,,,
902849.185373233,894124.8816674284,,,,
908577.6199335781,901686.5166155254,,,,
907145.5112934917,897149.5356466672,,,,
912873.9458538367,905215.2795913039,,,,
911441.8372137503,900174.189625906,,,,
916812.2446140739,910760.4785532416,,,,
916812.2446140739,905467.3340895738,,,,
921466.5976943542,913785.1325324804,,,,
920034.4890542679,909248.1515636223,,,,
925762.9236146129,916809.7865117191,,,,
924330.8149745265,912272.805542861,,,,
929701.2223748501,922859.0944701966,,,,
929701.2223748501,917565.9500065288,,,,
933997.5482951087,925883.7484494353,,,,
933997.5482951087,920590.6039857676,,,,
938293.8742153676,928908.4024286742,,,,
938293.8742153676,923615.2579650063,,,,
942590.2001356262,931933.0564079129,,,,
942590.2001356262,926639.9119442451,,,,
947244.5532159064,934957.7103871517,,,,
945812.4445758202,930420.7294182936,,,,
951540.8791361653,937982.3643663904,,,,
950108.7704960791,933445.3833975323,,,,
955837.2050564239,941007.0183456291,,,,
954405.0964163378,936470.037376771,,,,
960133.5309766826,944535.7813214076,,,,
958701.4223365964,939494.6913560098,,,,
964429.8568969414,947056.3263041066,,,,
962997.7482568553,942519.3453352485,,,,
968726.1828172001,950585.0892798852,,,,
967294.074177114,945543.9993144872,,,,
973022.5087374587,953105.6342625841,,,,
971590.4000973726,948568.653293726,,,,
977318.8346577176,956634.3972383627,,,,
975886.7260176315,951593.3072729649,,,,
981615.1605779763,959154.9422210617,,,,
980183.0519378901,954617.9612522036,,,,
985553.4593382137,962179.5962003004,,,,
985553.4593382137,957642.6152314423,,,,
989849.7852584723,965204.2501795392,,,,
989849.7852584723,960667.2692106811,,,,
994146.111178731,965204.2501795392,,,,
993072.0296986663,960667.2692106811,,,,
997368.3556189252,968228.9041587779,,,,
997368.3556189252,962179.5962003004,,,,
