Red Tdet=210K,,Blue Tdet=230k,,Black Tdet=250K,,green Tdet=270K,
X,Y,X,Y,X,Y,X,Y
0.0996107451552705,146.6320557491289,0.0991585291246468,149.2320557491289,0.0991585291246468,151.5149825783972,0.10097980499629272,153.48083623693378
0.10144032702089009,146.25156794425087,0.0996107451552705,148.97839721254354,0.0996107451552705,151.26132404181183,0.10097980499629272,153.3540069686411
0.10236768132990691,145.96620209059233,0.10052137366423712,148.75644599303135,0.10097980499629272,151.00766550522647,0.10097980499629272,153.22717770034842
0.104247900708798,145.61742160278743,0.10190294927270761,148.5979094076655,0.10236768132990691,150.69059233449477,0.10190294927270761,153.22717770034842
0.10568069407008458,145.30034843205573,0.10236768132990691,148.3759581881533,0.10472332700117601,150.1198606271777,0.10190294927270761,153.10034843205574
0.10713317988371021,144.98327526132402,0.10330351339170421,148.12229965156794,0.10520092149222225,149.8979094076655,0.10283453281433112,152.97351916376306
0.10910092867241626,144.60278745644598,0.104247900708798,147.86864111498255,0.10664681326453081,149.61254355400695,0.10283453281433112,152.84668989547038
0.11009831520786452,144.31742160278745,0.10568069407008458,147.71010452961673,0.10762176459531082,149.35888501742158,0.10377463277183091,152.7198606271777
0.11212052556906185,143.96864111498257,0.10616265466800612,147.4881533101045,0.10860562880466912,149.10522648083622,0.10377463277183091,152.593031358885
0.11314551686758448,143.68327526132404,0.10713317988371021,147.23449477351915,0.10959848737298537,148.85156794425086,0.10472332700117601,152.46620209059233
0.11470059993712331,143.5247386759582,0.10811257751502278,146.98083623693378,0.11110481972162148,148.53449477351916,0.10472332700117601,152.33937282229965
0.11522369613945324,143.30278745644597,0.11009831520786452,146.6320557491289,0.11212052556906185,148.24912891986062,0.10568069407008458,152.21254355400697
0.11734004598321555,142.9540069686411,0.11110481972162148,146.34668989547038,0.11314551686758448,147.99547038327526,0.10568069407008458,152.08571428571426
0.11841275346019714,142.66864111498256,0.11212052556906185,146.093031358885,0.11470059993712331,147.71010452961673,0.10664681326453081,151.95888501742158
0.12058767772214456,142.3198606271777,0.11314551686758448,145.83937282229965,0.1157491779407865,147.45644599303134,0.10664681326453081,151.8320557491289
0.12280254950162685,141.93937282229965,0.11470059993712331,145.68083623693377,0.1168073419085194,147.20278745644598,0.10762176459531082,151.70522648083622
0.12392519447708257,141.6540069686411,0.11522369613945324,145.4588850174216,0.11787517947396178,146.9491289198606,0.10762176459531082,151.57839721254354
0.1262013674758411,141.30522648083624,0.11627705622073299,145.20522648083622,0.11949526748976301,146.6320557491289,0.10860562880466912,151.45156794425085
0.12851934765950782,140.92473867595817,0.11734004598321555,144.95156794425085,0.12058767772214456,146.34668989547038,0.10860562880466912,151.32473867595817
0.13087990291378854,140.54425087108012,0.11895277907188892,144.793031358885,0.12169007462714401,146.093031358885,0.10959848737298537,151.1979094076655
0.1332838152283873,140.16376306620208,0.11949526748976301,144.5710801393728,0.12336259493570433,145.80766550522648,0.10959848737298537,151.0710801393728
0.1345022785753045,139.87839721254355,0.12058767772214456,144.31742160278745,0.12449035977385953,145.5540069686411,0.11060042252552224,150.94425087108013
0.1363508910702356,139.7198606271777,0.12169007462714401,144.06376306620209,0.1256284344918518,145.30034843205573,0.11060042252552224,150.81742160278745
0.13822491107641938,139.402787456446,0.12336259493570433,143.90522648083623,0.12735508400426315,144.98327526132402,0.11161151723923507,150.69059233449477
0.14076373146460228,139.02229965156795,0.12392519447708257,143.68327526132404,0.12851934765950782,144.6979094076655,0.11161151723923507,150.56376306620209
0.14269840198152514,138.83205574912893,0.1250581025272548,143.42961672473865,0.1302857301657398,144.41254355400696,0.11263185524964386,150.4369337979094
0.1446596627995867,138.5149825783972,0.12677691334126506,143.27108013937283,0.13147678540797814,144.1588850174216,0.11263185524964386,150.31010452961672
0.14664787937849105,138.26132404181183,0.12735508400426315,143.0491289198606,0.1332838152283873,143.8418118466899,0.11366152105776778,150.18327526132404
0.1486634222008563,138.00766550522647,0.12851934765950782,142.79547038327524,0.13511568104369645,143.5247386759582,0.11366152105776778,150.05644599303133
0.1507066668412499,137.81742160278745,0.1298911143376367,142.55238095238093,0.1363508910702356,143.27108013937283,0.11366152105776778,149.92961672473865
0.15208440763721576,137.62717770034843,0.13147678540797814,142.38327526132403,0.13759739322658437,143.08083623693378,0.11470059993712331,149.92961672473865
0.1541746706366261,137.37351916376306,0.13207639000620308,142.16132404181184,0.13885529074392855,142.89059233449476,0.11470059993712331,149.80278745644597
0.15700644527193228,137.1198606271777,0.13348612320262473,141.91823461091752,0.14076373146460228,142.57351916376305,0.1157491779407865,149.6759581881533
0.15989023200204006,136.80278745644597,0.13511568104369645,141.74912891986062,0.14269840198152514,142.25644599303135,0.1157491779407865,149.5491289198606
0.16282698614944296,136.5491289198606,0.13573188095605893,141.52717770034843,0.1446596627995867,141.93937282229965,0.1168073419085194,149.42229965156793
0.16581768058334306,136.29547038327524,0.13759739322658437,141.36864111498258,0.147316672295221,141.5588850174216,0.1168073419085194,149.29547038327524
0.1688633060419368,136.04181184668988,0.13822491107641938,141.1466898954704,0.15002248391940495,141.17839721254353,0.11787517947396178,149.16864111498256
0.17196487146062042,135.78815331010452,0.14012468779717985,140.9881533101045,0.15208440763721576,140.92473867595817,0.11787517947396178,149.04181184668988
0.1751234043062238,135.53449477351916,0.14076373146460228,140.76620209059232,0.1541746706366261,140.6710801393728,0.11895277907188892,148.9149825783972
0.178339950917383,135.2808362369338,0.14269840198152514,140.60766550522646,0.15700644527193228,140.29059233449476,0.11895277907188892,148.78815331010452
