Energy(KeV),Typical Resolution(eV FWHM)
102.79015218807677, 556.906077348066
86.54921609293292, 527.0718232044198
81.71438664071924, 510.49723756906064
94.32448580075013, 543.646408839779
74.9904064513578, 500.55248618784503
68.81429181631343, 487.29281767955786
64.04949121389136, 470.7182320441989
57.9415720855709, 457.4585635359115
52.416119349583276, 444.1988950276241
48.10298719992366, 434.2541436464089
43.515766441735295, 420.9944751381215
39.36599448889651, 407.7348066298341
36.64601514661455, 397.7900552486187
32.684153755428746, 387.8453038674031
29.150615760938916, 377.90055248618773
26.754026956354885, 371.27071823204415
24.204604767752098, 361.32596685082876
21.899846749511607, 354.69613259668495
19.533758262786698, 348.06629834254136
17.42330511410987, 341.43646408839777
15.76426120278371, 334.80662983425395
14.468218188771132, 328.17679558011037
12.723180269498771, 324.86187845303857
11.677156691724335, 318.232044198895
10.416362515519499, 314.9171270718232
9.290964895005407, 308.2872928176796
8.528462348985002, 308.2872928176796
7.393550105679549, 304.9723756906076
6.883780914282736, 301.6574585635358
5.799337509773226, 295.0276243093922
4.886503557223635, 295.0276243093922
4.421560221786732, 291.7127071823204
3.944471001712333, 291.7127071823204
3.6204657217974745, 288.3977900552486
3.2298151186444386, 288.3977900552486
2.96474660541978, 288.3977900552486
2.644639977349481, 285.0828729281766
2.3256651745724435, 281.7679558011048
1.6748858215982914, 281.7679558011048
1.2410396925321237, 278.453038674033
1.075975049760517, 278.453038674033
0.8087890422705951, 278.453038674033
0.5908423574518219, 278.453038674033
0.4254763195117489, 275.1381215469612
0.3020751941167847, 275.1381215469612
0.21446416337671992, 275.1381215469612
0.16118302439162374, 268.5082872928176
