Energy(KeV),Intrinsic Efficiency 
0.1484414394320798, 0.9971230328008664
0.15091758176921583, 1.1645717098942172
0.15054482771733071, 1.1202324802564132
0.1505140203869338, 1.0859698047463495
0.14949325851950107, 1.060998465337259
0.1494626663810852, 1.028547481478797
0.1531108841140795, 1.3814458522020394
0.15273271278525108, 1.328849481920521
0.1527014577284249, 1.288206187422991
0.15166586101291724, 1.2585845222584215
0.15163482427548158, 1.2200903044526157
0.1548652097006204, 1.4472541150362863
0.15697125106695609, 1.4928135765676647
0.1594618053106428, 1.5437807533975123
0.1623292842392254, 1.563749281752993
0.16338334656384057, 1.5217671335098841
0.16819117289586835, 1.5634648305559165
0.16667203390413088, 1.5157146822437995
0.16664645256142924, 1.4808110602927353
0.17015310651475302, 1.6896216018855068
0.17012263867114116, 1.6443162323082525
0.17253765950408986, 1.8545180201818097
0.17250235158443003, 1.7977969821178976
0.17247146308184313, 1.7495910071180332
0.17502725744931077, 2.1659752175779547
0.17499144006102543, 2.099728159622871
0.17495563000237158, 2.0355072895263047
0.1749243022124587, 1.9809273706105706
0.17372466030573946, 1.912963371889115
0.17794687614865215, 2.5297113593273184
0.17750736195602382, 2.433396592339923
0.1774755772495627, 2.3681477035822485
0.1762674570250392, 2.304727005807412
0.17623138584365672, 2.2342361791879357
0.18005945626596737, 2.8200883759520012
0.18002721457807394, 2.7444707666775656
0.17879257657622852, 2.6503102182168443
0.1829881007894436, 3.0952760323583153
0.1825408049724911, 2.989011671156649
0.18129820448793002, 2.9089637900404766
0.18553353884670112, 3.3449973948249636
0.18385775986089448, 3.2428370400891637
0.18769776947204642, 3.6149069336835753
0.1876641600575391, 3.5179771273676814
0.19028924763282482, 3.8463456958416513
0.19025517418476007, 3.7432101102895228
0.19334470448355837, 4.0925554301536184
0.19159837336302576, 3.9675637290637313
0.1955600242112205, 4.287513461249786
0.19870011343401647, 4.5619629344977435
0.19690541110343007, 4.422634948054203
0.20146411190459634, 4.930013986363756
0.200971653356023, 4.76076097580848
0.20381417111007613, 5.327819319092745
0.20377246279897593, 5.164866228798004
0.20708679640625938, 5.6688601622062915
0.20521634374410017, 5.49572616634291
0.20945957132472706, 5.93890899468887
0.21282284429005383, 6.319066505561108
0.21090058240480214, 6.12607440433975
0.21574281742531015, 6.637172657941104
0.2186991232489539, 6.953270162755407
0.2216959390845981, 7.284421913963362
0.22423227944278856, 7.611702708356203
0.2278327564161437, 8.098937982999393
0.2257749217634234, 7.85158640699921
0.23044323598032151, 8.484749007451724
0.23414344170839244, 9.027869143815678
0.23202860758342286, 8.75214686203828
0.23735593781925712, 9.482338283363736
0.24060840642806455, 9.933937725724213
0.24395120548414942, 10.707636791376235
0.24335489155290024, 10.340031391495906
0.24674636824559937, 11.217719018035591
0.3200465916120254, 24.41862259907998
0.31715045264440744, 23.61164814739593
0.3280515413510719, 25.61324253481178
0.32581841323319566, 24.927301488408013
0.3325127764968554, 26.41954567524494
0.3370346808257312, 27.251231183935037
0.34161807938943006, 28.109098096115854
0.3462726668607468, 29.106768753596615
0.35653223585193833, 30.807908942054947
0.3533059340305007, 29.789784544367436
0.36544975818507547, 32.31510870531168
0.36296205113967295, 31.449686865423732
0.3704101026453609, 33.20321235040985
0.3762871434842232, 34.33682609947107
0.3857086393926954, 36.15678855617383
0.38307322503438523, 35.05211700060432
0.396209800633602, 37.583187243734024
0.3935227695188246, 36.71898041161326
0.40249618743150894, 38.86634073332441
0.4125105835368601, 39.98393624447065
0.41243671883814925, 38.91181038700788
0.4178637546330962, 37.57293294988884
0.41778893138838447, 36.5654555292069
0.4207385160802805, 38.75704831411483
0.42328639410645824, 35.30731146191414
0.42041573389157433, 34.49543726957058
0.4300023864806733, 36.51276270841434
0.44173207358042177, 38.24908545869097
0.4377347884817139, 36.985048773566625
0.45274585102930126, 39.65569364188831
0.44965239448047556, 38.44412263318232
0.4650721426837894, 41.22012542977233
0.46191809824569363, 40.272288999980844
0.4724511206221604, 42.62745013173419
0.4852890702498359, 43.966359889796564
0.48092223854345456, 42.84481317008563
0.49847586644268777, 45.347324223835095
0.4939903744918239, 44.190550207100685
0.5120209884345157, 46.771664049878545
0.5074136118754736, 45.57855626196873
0.5259341730390495, 48.24074177335649
0.5402254216491852, 49.755962592263266
0.5353642499384018, 48.48672773244574
0.5536524566802025, 50.98832247923019
0.5686532519244434, 51.98080194804736
0.5840754242965744, 53.19876229796359
0.5999465494745785, 54.869712395552426
0.6161858844398019, 55.720965629260114
0.6329295495523021, 57.471137041791614
0.6500616673610792, 58.36274899155005
0.6676575168139567, 59.26819348247383
0.6857296501849821, 60.18768511374505
0.7042909595127744, 61.121441813855014
0.7233546857972627, 62.069684892255694
0.7429344284453591, 63.032639091812115
0.7630441549723089, 64.01053264206848
0.78365811410034, 64.50075357368087
0.8048495577998939, 65.24758434868063
0.826614054056412, 66.00306240569783
0.8489453807744489, 66.50854301031518
0.8719023028262692, 67.27862124922693
0.8954342029309578, 67.53114744806486
0.9196717887183059, 68.57883122717311
0.9444929465373282, 68.83623768481135
0.9700336367197415, 69.63326745407586
0.9984167086210172, 69.80343301178726
1.0231533335159677, 70.7039162021999
1.0507673700405098, 70.96929903659775
1.0791266858777417, 71.23567796926818
1.1082797476654422, 71.78123225505115
1.1381621561762758, 71.77143909863634
1.1689698948241178, 72.88490711137406
1.2004886841979947, 72.87496337993903
1.2328888507095233, 73.14849510741927
1.26622825496952, 73.99545493756665
1.3003694093690872, 73.98535969342797
1.3355677690159062, 75.13317465247196
1.371578516078374, 75.12292418855266
