Energy(KeV),Typical Resolution(eV FWHM)
0.11342416498929479, 274.0726124704024
0.1314680602358822, 274.0229179455698
0.15385622084561562, 273.8489871086556
0.18168301406541382, 273.8489871086556
0.2126259753915122, 274.3707796193985
0.25107992523562706, 274.0229179455698
0.29384207587634936, 274.5447104563127
0.3469927781640916, 275.24043380396984
0.40609684562403736, 276.4579496623694
0.4795404956988973, 276.11008798854095
0.5612124290331085, 276.63188049928385
0.6447155233666708, 276.00138121546956
0.7515420268893417, 275.61003683241256
0.8716939989963162, 277.24063842848363
1.019596173170877, 278.34944751381204
1.190846241867347, 278.54511970534077
1.4091014350750746, 280.110497237569
1.6426138764918485, 280.50184162062624
1.9224577135305476, 282.89339062819727
2.249858448482379, 283.0673214651115
2.6569049753025276, 285.15449150808263
3.103912864325505, 286.84162062615087
3.6888931306921693, 292.2065963502423
4.278760178013311, 294.9104302695464
4.962932250793102, 297.4719571404655
5.756288826041999, 298.4681064791562
6.676604145036849, 300.3180981081532
7.744295385835912, 303.4488531726099
9.024104513791182, 310.8962553713934
10.351242853319507, 317.94045426642106
13.22617902001206, 327.07182320441984
15.441842516027384, 335.12233622730855
18.040433392842978, 343.5952527112747
20.952262774332493, 353.48756906077347
24.60969625122877, 364.64088397790056
28.896051583281853, 377.6856967464703
33.67710155192078, 392.29588704726825
38.98223114670765, 407.80057879505375
45.40717512978999, 426.3167587476978
52.688972750941545, 445.8033372398013
60.75621495429205, 459.15648194653727
71.92016294712315, 493.1441486690105
84.47790899938701, 521.7004297114795
96.87171781258243, 547.203038674033
