Tpk(us),FWHM Fe-55 Resolution(eV)
0.5967765578871176, 159.63407322628444
0.620427791273634, 159.4433597228907
0.6203450223029026, 159.1892589827451
0.6202622533321711, 158.9351582425995
0.6438927944760051, 158.68091955416932
0.6438100255052737, 158.42681881402373
0.6437272565345422, 158.17271807387812
0.6673577976783762, 157.91847938544797
0.6672750287076448, 157.66437864530238
0.6671922597369133, 157.41027790515676
0.6908228008807469, 157.1560392167266
0.6907400319100154, 156.901938476581
0.6906572629392835, 156.6478377364354
0.7142878040831175, 156.39359904800526
0.7142050351123861, 156.13949830785964
0.7141222661416546, 155.88539756771405
0.7377528072854882, 155.63115887928387
0.7376700383147567, 155.37705813913828
0.7375872693440253, 155.12295739899267
0.7612178104878593, 154.86871871056252
0.7611350415171279, 154.6146179704169
0.7610522725463964, 154.3605172302713
0.7846828136902304, 154.10627854184116
0.784600044719499, 153.85217780169555
0.7845172757487675, 153.59807706154996
0.8081064324072353, 153.216788003047
0.8080236634365039, 152.9626872629014
0.8079615867084553, 152.7721117077922
0.8316128200949722, 152.58139820439843
0.8315300511242407, 152.32729746425284
0.8314472821535093, 152.07319672410722
0.8550364388119776, 151.69190766560428
0.8549536698412461, 151.43780692545866
0.8548915931131975, 151.24723137034945
0.8785014420143482, 150.9294674968829
0.8784186730436168, 150.6753667567373
0.8783359040728853, 150.4212660165917
0.9019664452167189, 150.16702732816154
0.9018836762459874, 149.91292658801592
0.901800907275256, 149.65882584787033
0.9254314484190895, 149.40458715944018
0.9253486794483581, 149.15048641929457
0.9252659104776266, 148.89638567914898
0.9488964516214606, 148.6421469907188
0.9488136826507292, 148.3880462505732
0.9487309136799977, 148.1339455104276
0.9723614548238317, 147.87970682199744
0.9722786858531003, 147.62560608185186
0.9721959168823688, 147.37150534170624
0.9958264580262024, 147.1172666532761
0.995743689055471, 146.86316591313047
0.9956609200847395, 146.60906517298488
1.0192914612285735, 146.3548264845547
1.031075693436466, 146.13241936278504
1.0546751962162757, 145.7828928968003
1.0664490823028268, 145.5287231825124
1.0901003156893436, 145.33800967911864
1.090038238961295, 145.14743412400944
1.1136894723478115, 144.9567206206157
1.1136273956197629, 144.7661450655065
1.1372786290062797, 144.57543156211273
1.1372165522782312, 144.38485600700352
1.160867785664748, 144.19414250360978
1.1608057089366994, 144.00356694850058
1.1844569423232159, 143.8128534451068
1.1962411745311083, 143.59044632333715
1.2198406773109176, 143.24091985735237
1.231614563397469, 142.9867501430645
1.2552657967839855, 142.79603663967075
1.255203720055937, 142.60546108456154
1.2788549534424538, 142.41474758116777
1.2787928767144052, 142.2241720260586
1.3024441101009216, 142.03345852266483
1.302382033372873, 141.84288296755562
1.32603326675939, 141.6521694641619
1.3259711900313413, 141.46159390905268
1.3496224234178582, 141.27088040565891
1.3732529645616918, 141.01664171722877
1.3731908878336432, 140.82606616211956
1.39684212122016, 140.6353526587258
1.4086263534280525, 140.41294553695613
1.4559391663224273, 140.06328112268682
1.4914263625235438, 139.80897346011437
1.5150775959100606, 139.61825995672064
1.5387288292965775, 139.42754645332687
1.562380062683094, 139.2368329499331
1.5860312960696108, 139.04611944653936
1.6096825294561277, 138.8554059431456
1.633333762842644, 138.66469243975183
1.6688209590437606, 138.41038477717942
1.716123425816794, 138.0289577703919
1.7634258925898276, 137.64753076360438
1.810728359362861, 137.26610375681688
1.8580308261358938, 136.88467675002937
1.905333292908927, 136.50324974324187
1.9408204891100436, 136.24894208066942
1.9644717224965604, 136.05822857727568
1.999958918697677, 135.80392091470324
2.047302769956076, 135.54954427798853
2.094646621214475, 135.29516764127382
2.1420111647155573, 135.10431618959552
2.1893653620952978, 134.881702145399
2.236719559475038, 134.6590881012025
2.284063410733437, 134.40471146448778
2.3195919914199195, 134.27745417198815
2.3550895337423774, 134.05490910193393
2.4024644233648016, 133.89582024277382
2.449839312987224, 133.73673138361372
2.497224548730989, 133.6094051169718
2.5445994383534125, 133.4503162578117
2.591984674097177, 133.3229899911698
2.639369909840942, 133.1956637245279
2.686755145584707, 133.06833745788597
2.7341300352071305, 132.90924859872587
2.7815152709508957, 132.78192233208398
2.828890160573318, 132.62283347292384
2.8762753963170833, 132.49550720628196
2.9236606320608485, 132.36818093964004
2.9710458678046128, 132.24085467299813
3.018431103548378, 132.11352840635624
3.0658059931708013, 131.95443954719613
3.1131912289145665, 131.82711328055422
3.1605661185369898, 131.6680244213941
3.207951354280754, 131.5406981547522
3.255357282267202, 131.4768970731467
3.30276321025365, 131.41309599154118
3.3501484459974145, 131.2857697248993
3.3975543739838625, 131.2219686432938
3.4449499558489696, 131.12640496917007
3.492345537714075, 131.03084129504637
3.539741119579182, 130.93527762092265
3.587136701444287, 130.83971394679895
3.6345426294307352, 130.77591286519345
3.6819278651745004, 130.64858659855156
3.7293337931609476, 130.58478551694603
3.7767397211473956, 130.52098443534055
3.82412495689116, 130.39365816869864
3.871530884877608, 130.3298570870931
3.918936812864056, 130.26605600548763
3.9663220486078203, 130.1387297388457
4.013727976594268, 130.0749286572402
4.061133904580716, 130.0111275756347
4.108560524809846, 130.01085167906558
4.155945760553612, 129.8835254124237
4.203372380782742, 129.88324951585457
4.250757616526506, 129.75592324921269
4.298184236755638, 129.75564735264356
4.369282782613968, 129.62818313771712
4.416709402843098, 129.627907241148
4.464094638586863, 129.5005809745061
4.5115212588159945, 129.50030507793699
4.558906494559759, 129.37297881129507
4.606333114788889, 129.37270291472598
4.653739042775337, 129.30890183312047
4.701144970761785, 129.24510075151497
4.748550898748233, 129.18129966990946
4.795956826734679, 129.11749858830396
