Red window c2,,Black window c1,,Blue 12um Be window 500um Si detector,,Green 25um Be window 1000um Si detector,,Violet 100um Be window 750 um CdTe detector,
Energy(keV),Intrinsic Efficiency,Energy(keV),Intrinsic Efficiency,Energy(keV),Intrinsic Efficiency,Energy(keV),Intrinsic Efficiency,Energy(keV),Intrinsic Efficiency
0.14456415494897817,1.022850727135765,0.26115958124689426,1.0672534245547594,0.6797259428042937,1.157445098564667,0.7467850319672888,1.0254884213998303,1.3460712464167837,1.1754696433603427
0.1468489734856671,1.1937748789771172,0.26469354943302553,1.21236517652882,0.6782049367512661,1.1135836755118957,0.7551967282254843,1.1754696433603427,1.3460712464167837,1.1396969405025192
0.14652037314325403,1.148536737607373,0.26469354943302553,1.1754696433603427,0.6782049367512661,1.0796943291077385,0.7551967282254843,1.1396969405025192,1.3460712464167837,1.1050128972089666
0.14652037314325403,1.1135836755118957,0.26469354943302553,1.1441083016506213,0.6736623092527516,1.0549558717837835,0.7551967282254843,1.1050128972089666,1.3460712464167837,1.0755313301955034
0.1455389773437462,1.0880687297623242,0.26292062781129033,1.1050128972089666,0.6827781960133613,1.21236517652882,0.7551967282254843,1.0713843826410228,1.3460712464167837,1.0387792742205573
0.1455389773437462,1.0549558717837835,0.26647842618777173,1.8400555420198574,0.6982462854793778,1.6771226565038546,0.7654159252355156,1.2170578105501866,1.4014584605337121,1.8978110363160379
0.14883610946584686,1.4149582666275604,0.26827533869116554,1.7840577027575897,0.70611124716908,1.9573793547608505,0.760289157143217,1.0387792742205573,1.4014584605337121,1.8400555420198574
0.1485030625580407,1.3613383729397055,0.2700843681024496,1.8832043947040915,0.70611124716908,1.8978110363160379,0.760289157143217,1.014978281614112,1.4014584605337121,1.7840577027575897
0.1485030625580407,1.319909184717618,0.2719055961281381,1.4593708466999176,0.70611124716908,1.847177742001228,0.7775132289888027,1.6599339752961328,1.4014584605337121,1.7297640283590634
0.14750838667316554,1.289666813189542,0.2719055961281381,1.3508607324656987,0.701381702757673,1.7567011239100934,0.7862710439409227,1.9573793547608505,1.3920714693812413,1.6771226565038546
0.14750838667316554,1.2504187833025773,0.2755849776073091,1.7297640283590634,0.7156662275816345,2.2149460132308265,0.7862710439409227,1.8978110363160379,1.3920714693812413,1.6386956442037661
0.1505125813975086,1.482097190465568,0.2755849776073091,1.6771226565038546,0.7156662275816345,2.1475392486027607,0.7862710439409227,1.8400555420198574,1.4204227642366978,2.2149460132308265
0.1525492927129875,1.5286171209109043,0.27373910502570686,1.6386956442037661,0.7156662275816345,2.0821838531234156,0.7862710439409227,1.7840577027575897,1.4204227642366978,2.1475392486027607
0.1549603153615302,1.5806628923962502,0.2793141478670792,1.9573793547608505,0.7156662275816345,2.026631521602889,0.7862710439409227,1.7297640283590634,1.4204227642366978,2.0821838531234156
0.15776246511864409,1.6011490894352622,0.2793141478670792,1.9051567872560653,0.7108726837588139,1.7978953358644874,0.7969107334430152,2.3561732236890736,1.4204227642366978,2.0188173981121156
0.1588262861198165,1.5584306883216097,0.2774432972435154,1.4706901209096719,0.7269772435346409,2.506405224717689,0.7969107334430152,2.2844685351939824,1.41090874987513,1.9573793547608505
0.16351969487405782,1.6011490894352622,0.2774432972435154,1.3404637339188459,0.7253505044061216,2.411424909850621,0.7969107334430152,2.2149460132308265,1.4396436897555036,2.5850760416329206
0.1620609841706152,1.5524218161016,0.2837286733269445,2.1475392486027607,0.7204920951424552,2.3561732236890736,0.7969107334430152,2.1475392486027607,1.4396436897555036,2.506405224717689
0.1620609841706152,1.516852007303822,0.2830937806409786,2.0661581726258484,0.7204920951424552,2.2844685351939824,0.7969107334430152,2.0821838531234156,1.4396436897555036,2.4301285723587167
0.1653615609354194,1.7297640283590634,0.28119761397672777,2.0188173981121156,0.7351658272601667,2.8803843781443055,0.7969107334430152,2.026631521602889,1.4300009333278183,2.3561732236890736
0.1653615609354194,1.6836142012861366,0.2830937806409786,1.7567011239100934,0.7351658272601667,2.792726534270846,0.7915730126223139,1.690130872527415,1.4300009333278183,2.2844685351939824
0.1675992061819184,1.8978110363160379,0.2869245587793884,2.39286520145063,0.7351658272601667,2.7077363543560042,0.807694397460732,2.666216170921535,1.4591247096540263,3.0170568948888015
0.1675992061819184,1.8400555420198574,0.2869245587793884,2.320043877383413,0.7302416748072555,2.6253326542104194,0.807694397460732,2.5850760416329206,1.4591247096540263,2.9252397387285884
0.1675992061819184,1.790963155037251,0.2869245587793884,2.2581454785339363,0.7451139694369309,3.2594069613667567,0.807694397460732,2.506405224717689,1.4591247096540263,2.836216825587006
0.1698671308731738,2.2149460132308265,0.28500273350198196,1.8832043947040915,0.7451139694369309,3.1602144408450243,0.807694397460732,2.4301285723587167,1.4591247096540263,2.7605470151988616
0.1698671308731738,2.1475392486027607,0.29080717437290743,2.7077363543560042,0.7451139694369309,3.0640406155166433,0.818623984233366,3.0170568948888015,1.4493514690439135,2.666216170921535
0.1698671308731738,2.0821838531234156,0.29080717437290743,2.6253326542104194,0.74012318416883,2.970793618367625,0.818623984233366,2.9252397387285884,1.4788693434863207,3.521224196270132
0.1698671308731738,2.026631521602889,0.29080717437290743,2.545436720297967,0.7551967282254843,3.688304179267365,0.818623984233366,2.836216825587006,1.4788693434863207,3.414063873091684
0.1687293581175012,1.9573793547608505,0.2888593432742433,2.4679722345471444,0.7551967282254843,3.576059162818435,0.818623984233366,2.7605470151988616,1.4788693434863207,3.310164726772087
