Tpeak,FWHM(eV)
0.12729320166320202, 146.79510489510488
0.14684874220374255, 146.50874125874125
0.17610968814968841, 146.34965034965035
0.18590874220374265, 146.12692307692308
0.2151696881496885, 145.96783216783217
0.22496874220374252, 145.7451048951049
0.24451576923076956, 145.49055944055945
0.27377671517671565, 145.33146853146854
0.28357576923076966, 145.10874125874128
0.3063664449064454, 144.86480186480188
0.33238374220374256, 144.6951048951049
0.3421827962577968, 144.47237762237762
0.37144374220374266, 144.31328671328671
0.3812427962577969, 144.09055944055945
0.4007898232848237, 143.836013986014
0.4300507692307698, 143.6769230769231
0.4398498232848238, 143.45419580419582
0.45939685031185085, 143.19965034965037
0.4886577962577967, 143.04055944055943
0.4984568503118507, 142.81783216783217
0.5277177962577968, 142.65874125874126
0.5375168503118506, 142.436013986014
0.5570638773388779, 142.18146853146854
0.5863248232848237, 142.02237762237763
0.596123877338878, 141.79965034965036
0.6253848232848238, 141.64055944055946
0.6351838773388778, 141.41783216783216
0.6547309043659049, 141.1632867132867
0.683991850311851, 141.0041958041958
0.693790904365905, 140.78146853146853
0.7230518503118508, 140.62237762237763
0.7328509043659048, 140.39965034965036
0.7621118503118509, 140.24055944055945
0.7719109043659051, 140.01783216783218
0.801171850311851, 139.85874125874125
0.8109709043659048, 139.63601398601398
0.8499883367983372, 139.4132867132867
0.869543877338878, 139.12692307692308
0.8988048232848238, 138.96783216783217
0.9086038773388776, 138.7451048951049
0.9476213097713104, 138.52237762237763
0.9671768503118507, 138.236013986014
1.0061942827442836, 138.01328671328673
1.0354637422037427, 137.82237762237762
1.045262796257797, 137.59965034965035
1.0842802286902289, 137.37692307692308
1.1233061746361754, 137.12237762237763
1.1525756340956346, 136.93146853146854
1.1721056340956346, 136.74055944055945
1.2013921205821212, 136.486013986014
1.2404180665280673, 136.23146853146852
1.279444012474013, 135.97692307692307
1.318469958419959, 135.72237762237762
1.3574959043659052, 135.46783216783217
1.3964963097713106, 135.30874125874126
1.435513742203743, 135.086013986014
1.4745396881496886, 134.83146853146854
1.5135656340956352, 134.5769230769231
1.5525915800415808, 134.32237762237762
1.5818440124740134, 134.1951048951049
1.6111049584199593, 134.03601398601398
1.6501223908523912, 133.81328671328671
1.6891483367983378, 133.55874125874126
1.7281657692307701, 133.336013986014
1.7671661746361755, 133.1769230769231
1.8061921205821216, 132.9223776223776
1.8452095530145536, 132.69965034965037
1.8842099584199594, 132.54055944055943
1.923235904365905, 132.28601398601398
1.9622363097713105, 132.12692307692308
2.001253742203743, 131.9041958041958
2.0402626611226617, 131.71328671328672
2.0792715800415813, 131.52237762237763
2.1182719854469862, 131.36328671328673
2.1572894178794186, 131.14055944055946
2.1962898232848245, 130.98146853146852
2.235298742203743, 130.79055944055943
2.274299147609148, 130.63146853146853
2.313299553014554, 130.47237762237762
2.3523084719334726, 130.28146853146853
2.3913003638253647, 130.1541958041958
2.430292255717257, 130.02692307692308
2.469284147609148, 129.89965034965036
2.508284553014554, 129.74055944055945
2.547276444906446, 129.61328671328673
2.5862683367983372, 129.48601398601397
2.6252602286902302, 129.35874125874125
2.6642521205821215, 129.23146853146852
2.7032525259875273, 129.07237762237762
2.7422359043659057, 128.97692307692307
2.781227796257798, 128.84965034965035
2.8202111746361753, 128.7541958041958
2.8592030665280674, 128.62692307692308
2.8981949584199604, 128.49965034965035
2.9371868503118517, 128.37237762237763
2.976178742203744, 128.2451048951049
3.015162120582122, 128.14965034965036
3.0541454989604997, 128.0541958041958
3.093137390852392, 127.92692307692309
3.132120769230771, 127.83146853146853
3.1711041476091495, 127.73601398601399
3.2100960395010407, 127.60874125874126
3.2490709043659063, 127.5451048951049
3.2880542827442847, 127.44965034965035
3.327037661122662, 127.3541958041958
3.3660210395010406, 127.25874125874125
3.40500441787942, 127.16328671328671
3.4439792827442837, 127.09965034965035
3.482962661122663, 127.0041958041958
3.5219375259875276, 126.94055944055944
3.560920904365905, 126.8451048951049
3.5998957692307707, 126.78146853146853
3.638879147609149, 126.68601398601399
3.677854012474014, 126.62237762237763
3.7168288773388785, 126.55874125874126
3.7558122557172577, 126.46328671328672
3.7947871205821224, 126.39965034965036
3.833761985446987, 126.336013986014
3.8727368503118518, 126.27237762237763
3.9117117151767173, 126.20874125874127
3.950686580041581, 126.14510489510491
3.9896614449064467, 126.08146853146853
4.028636309771311, 126.01783216783217
4.06761968814969, 125.92237762237762
4.106586039501042, 125.89055944055944
4.14556941787942, 125.7951048951049
4.184544282744284, 125.73146853146854
4.223519147609149, 125.66783216783217
4.262494012474014, 125.6041958041958
4.301468877338879, 125.54055944055943
4.340435228690231, 125.50874125874125
4.379410093555095, 125.44510489510489
4.418376444906447, 125.41328671328671
4.457351309771312, 125.34965034965035
4.4963261746361765, 125.28601398601398
4.535292525987528, 125.2541958041958
4.574267390852392, 125.19055944055944
4.613233742203744, 125.15874125874126
4.6522086070686095, 125.0951048951049
4.69117495841996, 125.06328671328671
4.730141309771311, 125.03146853146853
4.769107661122663, 124.99965034965035
4.808074012474014, 124.96783216783217
4.847048877338879, 124.90419580419581
4.886006715176717, 124.90419580419581
4.924981580041582, 124.84055944055945
4.963956444906446, 124.77692307692308
5.0029142827442845, 124.77692307692308
5.041880634095636, 124.7451048951049
5.080846985446987, 124.71328671328672
5.119821850311852, 124.64965034965036
5.15877968814969, 124.64965034965036
5.197746039501041, 124.61783216783218
5.236720904365907, 124.55419580419581
5.2756872557172585, 124.52237762237763
5.314645093555096, 124.52237762237763
5.35361995841996, 124.45874125874127
5.392586309771312, 124.42692307692309
